amanodescubierta | A Mano Descubierta: (genérica)
abandonadoatusuerte | Abandonado A Tu Suerte: (William "Bill" Overbeck)
adrenalina | Adrenalina: (Meg Thomas)
agilidad | Agilidad: (Feng Min)
alerta | Alerta: (Feng Min)
arrebato | Arrebato: (Kate Denson)
asenlamanga | As En La Manga: (Ace Visconti)
autoconservacion | Autoconservación: (Yun-Jin Lee)
autocuracion | Autocuración: (Claudette Morel)
autodidacta | Autodidacta: (Adam Francis)
bailaconmigo | Baila Conmigo: (Kate Denson)
bajovigilancia | Bajo Vigilancia: (Detective Tapp)
bendicioncirculodecuracion | Bendición: Círculo De Curación: (Mikaela Reid)
bendicionexponencial | Bendición: Exponencial: (Jonah Vasquez)
bendicioniluminacion | Bendición: Iluminación: (Alan Wake)
bendicionpasosombrio | Bendición: Paso Sombrío: (Mikaela Reid)
bendicionteoriaoscura | Bendición: Teoría Oscura: (Yoichi Asakawa)
bulo | Bulo: (Zarina Kassir)
buscador | Buscador: (Gabriel Soma)
camaderia | Camaradería: (Steve Harrington)
campeondelaluz | Campeón De La Luz: (Alan Wake)
canguro | Canguro: (Steve Harrington)
carneresbaladiza | Carne Resbaladiza: (genérica)
cazamenor | Caza Menor: (genérica)
caidaequilibrada | Caída Equilibrada: (Nea Karlsson)
clarividencia | Clarividencia: (Mikaela Reid)
companerodeescena | Compañero De Escena: (Nicolas Cage)
concalle | Con Calle: (Nea Karlsson)
concentracioninterna | Concentración Interna: (Haddie Kaur)
conexionempatica | Conexión Empática: (Yoichi Asakawa)
conocimientosdebotanica | Conocimientos De Botánica: (Claudette Morel)
consejopaterno | Consejo Paterno: (Yoichi Asakawa)
construccionduradera | Construcción Duradera: (Felix Richter)
contrafuerza | Contrafuerza: (Jill Valentine)
corazonada | Corazonada: (Detective Tapp)
cuesteloquecueste | Cueste Lo Que Cueste: (Yui Kimura)
curacionreactiva | Curación Reactiva: (Ada Wong)
defrente | De Frente: (Jane Romero)
depiesligeros | De Pies Ligeros: (genérica)
detripascorazon | De Tripas Corazón: (Leon S. Kennedy)
demuestraloquevales | Demuestra Lo Que Vales: (Dwight Fairfield)
desatame | Desátame: (Thalita Lyra)
distorsion | Distorsión: (Jeff Johansen)
distraccion | Distracción: (Adam Francis)
dramaturgia | Dramaturgia: (Nicolas Cage)
dejavu | Déjà Vu: (genérica)
eltempledelhombre | El Temple Del Hombre: (Ashley J. Williams)
empatia | Empatía: (Claudette Morel)
energiapotencial | Energía Potencial: (Vittorio Toscano)
engano | Engaño: (Élodie Rakoto)
escalofrios | Escalofríos: (genérica)
esperanza | Esperanza: (genérica)
esprint | Esprint: (Meg Thomas)
espiritucalmado | Espíritu Calmado: (Jake Park)
espiritudenovato | Espíritu De Novato: (Leon S. Kennedy)
estonopuedeestarpasando | Esto No Puede Estar Pasando: (genérica)
estrelladelasuerte | Estrella De La Suerte: (Ellen Ripley)
evaluacion | Evaluación: (Élodie Rakoto)
evasionurbana | Evasión Urbana: (Nea Karlsson)
extraoficial | Extraoficial: (Zarina Kassir)
fajador | Fajador: (David King)
familia | Familia: (genérica)
farmacia | Farmacia: (Quentin Smith)
fechalimite | Fecha Límite: (Alan Wake)
fijacion | Fijación: (Nancy Wheeler)
fuerzainterior | Fuerza Interior: (Nancy Wheeler)
fuga | Fuga: (Yui Kimura)
giroargumental | Giro Argumental: (Nicolas Cage)
golpedesuerte | Golpe De Suerte: (Yui Kimura)
golpedecisivo | Golpe Decisivo: (Laurie Strode)
granadaaturdidora | Granada Aturdidora: (Leon S. Kennedy)
hastaotra | Hasta Otra: (Ashley J. Williams)
hechoparaesto | Hecho Para Esto: (Gabriel Soma)
hiperconcentracion | Hiperconcentración: (Rebecca Chambers)
inquebrantable | Inquebrantable: (William "Bill" Overbeck)
instintodesaqueador | Instinto De Saqueador: (genérica)
interceptor | Interceptor: (Ada Wong)
jugadorsecundario | Jugador Secundario: (Renato Lyra)
liberacion | Liberación: (Adam Francis)
ligeradepies | Ligera De Pies: (Ellen Ripley)
loconseguiremos | Lo Conseguiremos: (genérica)
luchaintensa | Lucha Intensa: (Élodie Rakoto)
lider | Líder: (Dwight Fairfield)
manifestacionresidual | Manifestación Residual: (Haddie Kaur)
melapela | Me La Pela: (David King)
medidacorrectiva | Medida Correctiva: (Jonah Vasquez)
medidasdesesperadas | Medidas Desesperadas: (Felix Richter)
mejorjuntos | Mejor Juntos: (Nancy Wheeler)
mejorquenuevo | Mejor Que Nuevo: (Rebecca Chambers)
minaexplosiva | Mina Explosiva: (Jill Valentine)
nadiesequedaatras | Nadie Se Queda Atrás: (genérica)
neblinoso | Neblinoso: (Vittorio Toscano)
objetodeobsesion | Objeto De Obsesión: (Laurie Strode)
oportunidades | Oportunidades: (Kate Denson)
pactodesangre | Pacto De Sangre: (Cheryl Mason)
pasion | Pasión: (Haddie Kaur)
percepcionoscura | Percepción Oscura: (genérica)
perfilbajo | Perfil Bajo: (Ada Wong)
periciatecnica | Pericia Técnica: (Feng Min)
porlosdemas | Por Los Demás: (Zarina Kassir)
postramiento | Postramiento: (Jeff Johansen)
premonicion | Premonición: (genérica)
primeralinea | Primera Línea: (Yun-Jin Lee)
reafirmacion | Reafirmación: (Rebecca Chambers)
resiliencia | Resiliencia: (genérica)
resurgimiento | Resurgimiento: (Jill Valentine)
rivalidadamistosa | Rivalidad Amistosa: (Thalita Lyra)
ruptura | Ruptura: (Jeff Johansen)
sabotear | Sabotear: (Jake Park)
salvaguardadealma | Salvaguarda De Alma: (Cheryl Mason)
segundoaliento | Segundo Aliento: (Steve Harrington)
serenidad | Serenidad: (Jane Romero)
sobreponerse | Sobreponerse: (Jonah Vasquez)
solidaridad | Solidaridad: (Jane Romero)
soloquedoyo | Solo Quedo Yo: (Laurie Strode)
solucionadordeproblemas | Solucionador De Problemas: (Gabriel Soma)
subirlasapuestas | Subir Las Apuestas: (Ace Visconti)
sujetate | Sujétate: (Ashley J. Williams)
supresuondealianza | Supresión De Alianza: (Cheryl Mason)
tenacidad | Tenacidad: (Detective Tapp)
tiempoprestado | Tiempo Prestado: (William "Bill" Overbeck)
torrentedesangre | Torrente De Sangre: (Renato Lyra)
trabajoenequipopoderdual | Trabajo En Equipo: Poder Dual: (Thalita Lyra)
trabajoenequiposigilocolectivo | Trabajo En Equipo: Sigilo Colectivo: (Renato Lyra)
trampaquimica | Trampa Química: (Ellen Ripley)
tacticaveloz | Táctica Veloz: (Vittorio Toscano)
vamosavivirparasiempre | Vamos A Vivir Para Siempre: (David King)
velocidadsilenciosa | Velocidad Silenciosa: (Meg Thomas)
vigilia | Vigilia: (Quentin Smith)
visiondefuturo | Visión De Futuro: (Felix Richter)
voluntaddehierro | Voluntad De Hierro: (Jake Park)
vinculo | Vínculo: (Dwight Fairfield)
despierta | Despierta: (Quentin Smith)
exitoaplastante | Éxito Aplastante: (Yun-Jin Lee)
invocacionaranastejedoras | Invocación: Arañas Tejedoras: (Sable Ward)
fuerzaenlassombras | Fuerza En Las Sombras: (Sable Ward)
embrujada | Embrujada: (Sable Ward)
espejismo | Espejismo: (Aestri y Baermar)
inspiracionbardica | Inspiración Bárdica: (Aestri y Baermar)
visionestatica | Visión Estática: (Aestri y Baermar)
sutileza | Sutileza: (Lara Croft)
curtida | Curtida: (Lara Croft)
especialista | Especialista: (Lara Croft)
ojosdebelmont | Ojos De Belmont: (Trevor Belmont)
exultacion | Exultación: (Trevor Belmont)
momentodegloria | Momento De Gloria: (Trevor Belmont)
separacionlimpia | Separación Limpia: (Taurie Cain)
cargasobreloshombros | Carga Sobre Los Hombros: (Taurie Cain)
invocacioncuervostraicioneros | Invocación: Cuervos Traicioneros: (Taurie Cain)
nohacerdano | No Hacer Daño: (Orela Rose)
deberdesocorro | Deber De Socorro: (Orela Rose)
respuestarapida | Respuesta Rápida: (Orela Rose)
ingenioapocaliptico | Ingenio Apocalíptico: (Rick Grimes)
venapormi | Ven A Por Mí: (Rick Grimes)
trabajoenequipocurtirse | Trabajo En Equipo: Curtirse: (Rick Grimes)
conviccion | Convicción: (Michonne Grimes)
ultimadefensa | Última Defensa: (Michonne Grimes)
trabajoenequipoalderribo | Trabajo En Equipo: Al Derribo: (Michonne Grimes)
vidaenlacarretera | Vida En La Carretera: (Vee Boonyasak)
unodostrescuatro | Uno Dos Tres Cuatro: (Vee Boonyasak)
notasfantasmales | Notas Fantasmales: (Vee Boonyasak)
badabadabum | Bada Bada Bum: (Dustin Henderson)
cambiodeplanes | Cambio De Planes: (Dustin Henderson)
trabajoenequipocircuitocompleto | Trabajo En Equipo: Circuito Completo: (Dustin Henderson)
trabajoenequipotonosuave | Trabajo En Equipo: Tono Suave: (Eleven)
tevemos | Te Vemos: (Eleven)
percepcionextrasensorial | Percepción Extrasensorial: (Eleven)
estadofluido | Estado Fluido: (Kwon Tae-Young)
unlugarparanosotros | Un Lugar Para Nosotros: (Kwon Tae-Young)
cincopasospordelante | Cinco Pasos Por Delante: (Kwon Tae-Young)
